PMID,Study_Type,n_applicable,n_rep_gaps,n_val_flags,error_weighted,transparency,validity,validity_weighted,domains_flagged,dom_gapped,ack_flagged,ack_named,acknowledgement,Saudi data used,Number of authors,% Saudi authors,Corresponding author,First author,Last author,Sector composition,Single vs multi-sector,JCR 2022 quartile,JCR Q1-2 vs Q3-4,Funding
STUDY-0431,Causal,13,3,4,4,0.769230769230769,0.6,0.6,2,3,2,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Funded
STUDY-0821,Descriptive,6,1,3,3,0.833333333333333,0.4,0.4,3,1,2,2,1,Yes,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Not stated
STUDY-1022,Causal,14,2,4,4,0.857142857142857,0.666666666666667,0.666666666666667,1,2,1,0,0,Yes,3-10,>=50%,Non-Saudi,Saudi,Saudi,Health-system,Multi-sector,Q2,Q1-Q2,Not stated
STUDY-0145,Descriptive,6,1,2,1.5,0.833333333333333,0.6,0.7,1,1,1,0,0,Yes,11+,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Declared none
STUDY-0385,Causal,16,2,5,5,0.875,0.642857142857143,0.642857142857143,3,1,3,0,0,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0397,Descriptive,8,1,4,4,0.875,0.428571428571429,0.428571428571429,3,1,3,3,1,Yes,3-10,>=50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q4,Q3-Q4,Declared none
STUDY-0532,Causal,17,1,6,6,0.941176470588235,0.625,0.625,4,1,4,0,0,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q3,Q3-Q4,Funded
STUDY-0284,Descriptive,7,1,4,4,0.857142857142857,0.333333333333333,0.333333333333333,3,1,2,2,1,Yes,3-10,<50%,Non-Saudi,Saudi,Non-Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Declared none
STUDY-0970,Descriptive,8,1,4,3.5,0.875,0.428571428571429,0.5,3,1,3,1,0.333333333333333,Yes,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Funded
STUDY-0304,Causal,15,1,6,6,0.933333333333333,0.571428571428571,0.571428571428571,4,0,4,3,0.75,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q4,Q3-Q4,Declared none
STUDY-0487,Descriptive,9,0,5,4.5,1,0.444444444444444,0.5,4,0,3,1,0.333333333333333,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,None,None,Declared none
