stratifier,level,ord,task,N,mean_val_err,mean_rep_gap,mean_err_w,sd_err_w,median_err_w,q25_err_w,q75_err_w,min_err_w,max_err_w,mean_validity,mean_validity_w,mean_transparency,median_validity,median_transparency,mean_dom_flag,mean_dom_gap,pct_clean,pct_ge3,sd_rep_gap,sd_dom_flag,sd_dom_gap,sd_validity,sd_transparency,sd_ack,cells_app,pct_ok,pct_rep,pct_val,pct_worst,n_ack_elig,mean_ack,pct_ack_none,q_hihi,q_hilo,q_lohi,q_lolo
Saudi data used,Yes,1,Descriptive,58,3.46551724137931,1.05172413793103,3.20689655172414,1.09237582199494,3.5,2.5,4,1,6.5,0.431862342638205,0.472694307608101,0.847229064039409,0.428571428571429,0.833333333333333,2.60344827586207,1.05172413793103,0,60.3448275862069,0.759094885618426,0.972240226837578,0.759094885618426,0.154988801973175,0.11140859278467,0.402363392541107,327,35.1681957186544,18.6544342507645,46.177370030581,64.8318042813456,58,0.33764367816092,50,14,14,10,20
Saudi data used,Yes,1,Causal,142,6.69014084507042,2.14788732394366,6.10211268591549,1.77470167276252,6,5,7.3333333,2.3333333,12,0.473142117249408,0.518521259532378,0.853440395936471,0.485294117647059,0.866666666666667,3.1830985915493,1.1056338028169,0,81.6901408450704,1.27132690551614,0.813186694517222,0.896864091310322,0.140280666823923,0.0910332798721454,0.268783427718084,826,26.271186440678,19.0072639225182,54.7215496368039,73.728813559322,142,0.307746478873239,33.0985915492958,48,38,23,33
Saudi data used,No,2,Descriptive,23,3.26086956521739,1.39130434782609,3.08695652173913,0.972954426582013,3,2,3.75,1.5,4.5,0.430779848171152,0.455564182194617,0.796963423050379,0.4,0.777777777777778,2.65217391304348,1.39130434782609,0,47.8260869565217,0.940943937793929,0.884651736929383,0.940943937793929,0.131247798863732,0.148182691756372,0.435067978373363,133,30.0751879699248,24.0601503759398,45.8646616541353,69.9248120300752,23,0.369565217391304,52.1739130434783,6,4,3,10
Saudi data used,No,2,Causal,87,6.17241379310345,2.50574712643678,5.61494254137931,1.70182118092118,5.1666667,4.5,6.58333335,2.3333333,10.6666667,0.504715317925257,0.548457282632902,0.831218790402627,0.529411764705882,0.857142857142857,3.13793103448276,1.28735632183908,0,77.0114942528736,1.453732671263,0.878323108861736,0.901007781720667,0.138802378531183,0.102421221328849,0.328470725203376,509,24.3614931237721,22.0039292730845,53.6345776031434,75.6385068762279,87,0.313409961685824,41.3793103448276,33,15,24,15
Number of authors,1-2,1,Descriptive,11,3.72727272727273,1.09090909090909,3.40909090909091,1.37510330190466,3.5,2.5,4,1.5,6.5,0.385858585858586,0.436868686868687,0.833333333333333,0.4,0.833333333333333,2.54545454545455,1.09090909090909,0,54.5454545454545,0.831209414593634,1.12815214963553,0.831209414593634,0.159790828480367,0.124175283908622,0.420437482591261,62,35.4838709677419,19.3548387096774,45.1612903225806,64.5161290322581,11,0.53030303030303,27.2727272727273,1,3,2,5
Number of authors,1-2,1,Causal,28,6.92857142857143,2.28571428571429,6.29761905714286,1.80554537444423,5.83333335,5.125000025,7.374999975,3.1666667,12,0.463737455938086,0.513513478734041,0.847032274448241,0.5,0.857142857142857,3.28571428571429,1.10714285714286,0,89.2857142857143,1.32935915658477,0.762896180361772,0.956044540814477,0.151283948340584,0.0931747245799646,0.243767099070127,166,25.9036144578313,18.6746987951807,55.421686746988,74.0963855421687,28,0.301190476190476,28.5714285714286,10,6,5,7
Number of authors,3-10,2,Descriptive,53,3.43396226415094,1.22641509433962,3.20754716981132,1.01637535779087,3,2,4,1,5.5,0.436028751123091,0.470297993411201,0.82571129080563,0.428571428571429,0.857142857142857,2.69811320754717,1.22641509433962,0,60.377358490566,0.846747383861014,0.952424147199324,0.846747383861014,0.140269527972785,0.12858601565816,0.399110040443941,307,32.2475570032573,21.1726384364821,46.5798045602606,67.7524429967427,53,0.309748427672956,54.7169811320755,14,13,8,18
Number of authors,3-10,2,Causal,156,6.53205128205128,2.26923076923077,5.95726496794872,1.73686796368478,5.6666667,4.625000025,7.1666667,2.5833333,11,0.477502169880564,0.522496653059009,0.845045671667338,0.5,0.866666666666667,3.16666666666667,1.18589743589744,0,79.4871794871795,1.39744538283787,0.848781542875952,0.935359080122482,0.138474611034336,0.0994756577410303,0.296024962496579,907,25.1378169790518,20.3969128996692,54.4652701212789,74.8621830209482,156,0.30534188034188,38.4615384615385,57,39,26,34
Number of authors,11+,3,Descriptive,17,3.11764705882353,0.941176470588235,2.91176470588235,0.9558257901817,3,2.5,3.5,1,4.5,0.447175536881419,0.480170401493931,0.855298786181139,0.428571428571429,0.833333333333333,2.41176470588235,0.941176470588235,0,47.0588235294118,0.747545001596402,0.795206225564457,0.747545001596402,0.166128778331382,0.113719813693827,0.426836669563031,91,37.3626373626374,17.5824175824176,45.0549450549451,62.6373626373626,17,0.343137254901961,52.9411764705882,5,2,3,7
Number of authors,11+,3,Causal,45,6.08888888888889,2.33333333333333,5.54074075333333,1.78169549992418,5.6666667,4.1666667,6.5,2.3333333,10.6666667,0.524920578695088,0.565732159131147,0.843567611630047,0.538461538461538,0.846153846153846,3.08888888888889,1.17777777777778,0,75.5555555555556,1.22474487139159,0.848051837561784,0.747386017119573,0.135017937274419,0.0864536223591751,0.310945121664368,262,26.7175572519084,20.2290076335878,53.0534351145038,73.2824427480916,45,0.331111111111111,33.3333333333333,14,8,16,7
