base,display,tool_order,round,value,reviewer
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.7,R9
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.9,R10
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.8,R11
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.8,R12
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.8,R13
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,1,R1
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,1,R2
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.333333333333333,R3
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.666666666666667,R4
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.666666666666667,R5
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,1,R6
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.666666666666667,R7
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.333333333333333,R8
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.333333333333333,R9
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.333333333333333,R10
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,1,R11
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.666666666666667,R12
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.666666666666667,R13
sample_ach,Achieving sample size calculated,7,1st,0.7,R1
sample_ach,Achieving sample size calculated,7,1st,0.875,R2
sample_ach,Achieving sample size calculated,7,1st,0.6,R3
sample_ach,Achieving sample size calculated,7,1st,0.8,R4
sample_ach,Achieving sample size calculated,7,1st,0.7,R5
sample_ach,Achieving sample size calculated,7,1st,0.6,R6
sample_ach,Achieving sample size calculated,7,1st,0.8,R7
sample_ach,Achieving sample size calculated,7,1st,0.888888888888889,R8
sample_ach,Achieving sample size calculated,7,1st,0.8,R9
sample_ach,Achieving sample size calculated,7,1st,0.9,R10
sample_ach,Achieving sample size calculated,7,1st,0.8,R11
sample_ach,Achieving sample size calculated,7,1st,0.8,R12
sample_ach,Achieving sample size calculated,7,1st,0.9,R13
sample_ach,Achieving sample size calculated,7,2nd,1,R1
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R2
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R3
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R4
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R5
sample_ach,Achieving sample size calculated,7,2nd,1,R6
sample_ach,Achieving sample size calculated,7,2nd,1,R7
sample_ach,Achieving sample size calculated,7,2nd,0.333333333333333,R8
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R9
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R10
sample_ach,Achieving sample size calculated,7,2nd,1,R11
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R12
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R13
base_sel,Accounting for baseline selection bias,8,1st,0.7,R1
base_sel,Accounting for baseline selection bias,8,1st,0.5,R2
base_sel,Accounting for baseline selection bias,8,1st,0.6,R3
base_sel,Accounting for baseline selection bias,8,1st,0.8,R4
base_sel,Accounting for baseline selection bias,8,1st,0.6,R5
base_sel,Accounting for baseline selection bias,8,1st,0.6,R6
base_sel,Accounting for baseline selection bias,8,1st,0.4,R7
base_sel,Accounting for baseline selection bias,8,1st,0.777777777777778,R8
base_sel,Accounting for baseline selection bias,8,1st,0.7,R9
base_sel,Accounting for baseline selection bias,8,1st,0.8,R10
base_sel,Accounting for baseline selection bias,8,1st,0.7,R11
base_sel,Accounting for baseline selection bias,8,1st,0.8,R12
base_sel,Accounting for baseline selection bias,8,1st,0.6,R13
base_sel,Accounting for baseline selection bias,8,2nd,0.666666666666667,R1
base_sel,Accounting for baseline selection bias,8,2nd,0.333333333333333,R2
base_sel,Accounting for baseline selection bias,8,2nd,0.666666666666667,R3
base_sel,Accounting for baseline selection bias,8,2nd,0.333333333333333,R4
base_sel,Accounting for baseline selection bias,8,2nd,0.666666666666667,R5
base_sel,Accounting for baseline selection bias,8,2nd,1,R6
base_sel,Accounting for baseline selection bias,8,2nd,0.333333333333333,R7
base_sel,Accounting for baseline selection bias,8,2nd,0.333333333333333,R8
base_sel,Accounting for baseline selection bias,8,2nd,0.333333333333333,R9
base_sel,Accounting for baseline selection bias,8,2nd,0.666666666666667,R10
base_sel,Accounting for baseline selection bias,8,2nd,1,R11
base_sel,Accounting for baseline selection bias,8,2nd,0.666666666666667,R12
base_sel,Accounting for baseline selection bias,8,2nd,0.666666666666667,R13
outcome_type,Outcome type,9,1st,0.8,R1
outcome_type,Outcome type,9,1st,0.625,R2
outcome_type,Outcome type,9,1st,0.9,R3
outcome_type,Outcome type,9,1st,0.9,R4
outcome_type,Outcome type,9,1st,0.7,R5
outcome_type,Outcome type,9,1st,0.9,R6
outcome_type,Outcome type,9,1st,0.2,R7
outcome_type,Outcome type,9,1st,1,R8
outcome_type,Outcome type,9,1st,0.9,R9
outcome_type,Outcome type,9,1st,0.8,R10
outcome_type,Outcome type,9,1st,0.8,R11
outcome_type,Outcome type,9,1st,0.9,R12
outcome_type,Outcome type,9,1st,0.8,R13
outcome_type,Outcome type,9,2nd,1,R1
outcome_type,Outcome type,9,2nd,1,R2
outcome_type,Outcome type,9,2nd,1,R3
outcome_type,Outcome type,9,2nd,0.666666666666667,R4
outcome_type,Outcome type,9,2nd,1,R5
outcome_type,Outcome type,9,2nd,1,R6
outcome_type,Outcome type,9,2nd,1,R7
outcome_type,Outcome type,9,2nd,1,R8
outcome_type,Outcome type,9,2nd,1,R9
outcome_type,Outcome type,9,2nd,0.666666666666667,R10
outcome_type,Outcome type,9,2nd,1,R11
outcome_type,Outcome type,9,2nd,1,R12
outcome_type,Outcome type,9,2nd,0.666666666666667,R13
val_outcome,Outcome validity,10,1st,0.7,R1
val_outcome,Outcome validity,10,1st,0.75,R2
val_outcome,Outcome validity,10,1st,0.6,R3
val_outcome,Outcome validity,10,1st,0.6,R4
val_outcome,Outcome validity,10,1st,0.4,R5
val_outcome,Outcome validity,10,1st,0.8,R6
val_outcome,Outcome validity,10,1st,0.7,R7
val_outcome,Outcome validity,10,1st,0.333333333333333,R8
val_outcome,Outcome validity,10,1st,0.7,R9
val_outcome,Outcome validity,10,1st,0.4,R10
val_outcome,Outcome validity,10,1st,0.5,R11
val_outcome,Outcome validity,10,1st,0.5,R12
val_outcome,Outcome validity,10,1st,0.6,R13
val_outcome,Outcome validity,10,2nd,0,R1
val_outcome,Outcome validity,10,2nd,0.333333333333333,R2
val_outcome,Outcome validity,10,2nd,0,R3
val_outcome,Outcome validity,10,2nd,0.666666666666667,R4
val_outcome,Outcome validity,10,2nd,0.333333333333333,R5
val_outcome,Outcome validity,10,2nd,0.666666666666667,R6
val_outcome,Outcome validity,10,2nd,0.666666666666667,R7
val_outcome,Outcome validity,10,2nd,1,R8
val_outcome,Outcome validity,10,2nd,0.666666666666667,R9
val_outcome,Outcome validity,10,2nd,0.333333333333333,R10
val_outcome,Outcome validity,10,2nd,0.333333333333333,R11
val_outcome,Outcome validity,10,2nd,0.333333333333333,R12
val_outcome,Outcome validity,10,2nd,0.666666666666667,R13
out_bias_acc,Accounting for outcome measurement bias,11,1st,1,R1
out_bias_acc,Accounting for outcome measurement bias,11,1st,1,R2
out_bias_acc,Accounting for outcome measurement bias,11,1st,0.7,R3
out_bias_acc,Accounting for outcome measurement bias,11,1st,0.9,R4
out_bias_acc,Accounting for outcome measurement bias,11,1st,1,R5
out_bias_acc,Accounting for outcome measurement bias,11,1st,1,R6
out_bias_acc,Accounting for outcome measurement bias,11,1st,1,R7
out_bias_acc,Accounting for outcome measurement bias,11,1st,1,R8
out_bias_acc,Accounting for outcome measurement bias,11,1st,1,R9
out_bias_acc,Accounting for outcome measurement bias,11,1st,0.9,R10
out_bias_acc,Accounting for outcome measurement bias,11,1st,1,R11
out_bias_acc,Accounting for outcome measurement bias,11,1st,1,R12
out_bias_acc,Accounting for outcome measurement bias,11,1st,1,R13
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R1
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R2
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R3
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R4
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R5
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R6
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R7
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R8
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R9
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R10
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R11
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R12
out_bias_acc,Accounting for outcome measurement bias,11,2nd,1,R13
miss_outcome,Presence of missing outcome,12,1st,0.6,R1
miss_outcome,Presence of missing outcome,12,1st,0.5,R2
miss_outcome,Presence of missing outcome,12,1st,0.8,R3
miss_outcome,Presence of missing outcome,12,1st,0.2,R4
miss_outcome,Presence of missing outcome,12,1st,0.1,R5
miss_outcome,Presence of missing outcome,12,1st,0.5,R6
miss_outcome,Presence of missing outcome,12,1st,0.7,R7
miss_outcome,Presence of missing outcome,12,1st,0.333333333333333,R8
