domain,axis,donor_pool,n_donors,eps1_max,eps1_mean,eps0_max,eps0_mean
Conflating task,VAL,usable VAL cells,3,0.286118980169972,0.116975605798933,0.096078431372549,0.0543320836813316
Conflating task,VAL,all usable cells,7,0.292543021032505,0.127638548347043,0.357142857142857,0.0860220031828089
Confounding bias,VAL,usable VAL cells,3,0.286118980169972,0.116975605798933,0.096078431372549,0.0543320836813316
Confounding bias,VAL,all usable cells,7,0.292543021032505,0.127638548347043,0.357142857142857,0.0860220031828089
Missing data,VAL,usable VAL cells,3,0.286118980169972,0.116975605798933,0.096078431372549,0.0543320836813316
Missing data,VAL,all usable cells,7,0.292543021032505,0.127638548347043,0.357142857142857,0.0860220031828089
