PMID,n_sectors,lead_saudi_type,multisector,multisector_union,health_system,health_system_union
STUDY-0446,1,University,False,False,False,False
STUDY-0133,1,University,False,False,False,False
STUDY-0542,1,University,False,False,False,False
STUDY-0337,1,University,False,False,False,False
STUDY-0702,1,University,False,False,False,False
STUDY-0541,1,Hospital & research centre,False,False,True,True
STUDY-0840,3,University,True,True,True,True
STUDY-0447,1,Military & security-forces medical,False,False,True,True
STUDY-0634,1,University,False,False,False,False
STUDY-0037,1,University,False,False,False,False
STUDY-1021,1,University,False,False,False,False
STUDY-0268,1,University,False,True,False,True
STUDY-0449,1,University,False,False,False,False
STUDY-0943,3,University,True,True,True,True
STUDY-0760,2,University,True,True,True,True
STUDY-0549,1,University,False,False,False,False
STUDY-0161,2,Hospital / medical city,True,True,True,True
STUDY-0064,1,Hospital / medical city,False,False,True,True
STUDY-0952,1,University,False,False,False,False
STUDY-0471,1,University,False,False,False,False
STUDY-0135,1,University,False,False,False,False
STUDY-0963,1,University,False,False,False,False
STUDY-0892,2,University,True,True,True,True
STUDY-0494,1,University,False,False,False,False
STUDY-0577,1,University,False,False,False,False
STUDY-0598,1,University,False,False,False,False
STUDY-0093,2,University,True,True,False,False
STUDY-0006,3,Military & security-forces medical,True,True,True,True
STUDY-0386,2,University,True,True,True,True
STUDY-0698,1,University,False,False,False,False
STUDY-0603,1,University,False,False,False,False
STUDY-1001,3,University,True,True,True,True
STUDY-0423,1,University,False,False,False,False
STUDY-0086,1,Hospital & research centre,False,False,True,True
STUDY-0207,1,University,False,False,False,False
STUDY-0810,1,University,False,False,False,False
STUDY-0109,1,University,False,False,False,False
STUDY-1016,1,Military & security-forces medical,False,False,True,True
STUDY-0473,2,University,True,True,False,True
STUDY-0295,1,University,False,False,False,False
STUDY-0516,5,University,True,True,True,True
STUDY-0803,1,Military & security-forces medical,False,False,True,True
STUDY-0307,1,University,False,False,False,False
STUDY-0560,1,University,False,False,False,False
STUDY-0132,1,Hospital / medical city,False,False,True,True
STUDY-0852,1,Hospital / medical city,False,True,True,True
STUDY-0231,1,University,False,False,False,False
STUDY-0595,1,University,False,False,False,False
STUDY-0129,1,University,False,False,False,False
STUDY-0834,1,University,False,False,False,False
STUDY-0865,1,University,False,False,False,False
STUDY-0339,1,Hospital & research centre,False,False,True,True
STUDY-0773,1,University,False,False,False,False
STUDY-0744,1,University,False,False,False,False
STUDY-0475,3,Other sectors,True,True,True,True
STUDY-0853,1,Hospital & research centre,False,False,True,True
STUDY-0403,1,University,False,False,False,False
STUDY-0628,1,University,False,False,False,False
STUDY-0653,1,University,False,False,False,False
STUDY-0005,1,University,False,False,False,False
STUDY-0297,1,University,False,False,False,False
STUDY-0162,2,University,True,True,True,True
STUDY-0728,1,University,False,False,False,False
STUDY-0984,2,Hospital / medical city,True,True,True,True
STUDY-0590,1,University,False,False,False,False
STUDY-0440,1,Hospital / medical city,False,False,True,True
STUDY-0450,1,University,False,False,False,False
STUDY-0416,1,University,False,False,False,False
STUDY-0557,1,University,False,False,False,False
STUDY-0373,1,University,False,False,False,False
STUDY-0352,1,Hospital / medical city,False,True,True,True
STUDY-0382,1,University,False,False,False,False
STUDY-0468,1,University,False,False,False,False
STUDY-0715,6,Hospital / medical city,True,True,True,True
STUDY-0665,2,Military & security-forces medical,True,True,True,True
STUDY-0988,1,University,False,False,False,False
STUDY-0252,1,University,False,False,False,False
STUDY-0986,1,University,False,False,False,False
STUDY-0781,1,University,False,False,False,False
STUDY-0360,1,University,False,False,False,False
STUDY-0199,1,University,False,False,False,False
STUDY-1003,2,University,True,True,False,False
STUDY-0062,1,University,False,True,False,False
STUDY-0525,1,University,False,False,False,False
STUDY-0351,1,University,False,False,False,False
STUDY-0630,2,Hospital / medical city,True,True,True,True
STUDY-0477,1,University,False,False,False,False
