city,author_appearances,n_categories
Riyadh,608,1
Jeddah,181,1
Unspecified,104,1
Dammam,93,1
Al-Kharj,88,1
Abha,56,1
Makkah,55,1
Jazan,53,1
Hail,41,1
Madinah,39,1
Dhahran,36,1
Sakaka,29,1
Buraidah,29,1
Taif,23,1
Al-Ahsa,19,1
Qassim,18,1
Tabuk,12,1
Khamis Mushait,8,1
Najran,6,1
Unaizah,6,1
Other cities (fewer than 5 appearances each),16,8
